content_type,deg_type,deg_label,method,edge_recovery,original_edges,method_edges
scene,combined,combined_moderate,Canny Only,0.04142011834319527,1352,100
scene,combined,combined_moderate,CLAHE + Canny,0.1819526627218935,1352,390
scene,combined,combined_moderate,HistEq + Canny,0.08727810650887574,1352,1443
scene,combined,combined_moderate,Adaptive Thresh,0.5517751479289941,1352,237329
scene,combined,combined_moderate,Ours (ADRR + Canny),0.0014792899408284023,1352,26
text,dark,dark_severe,Canny Only,0.0,4122,0
text,dark,dark_severe,CLAHE + Canny,0.0,4122,0
text,dark,dark_severe,HistEq + Canny,1.0,4122,4122
text,dark,dark_severe,Adaptive Thresh,0.7280446385249879,4122,233922
text,dark,dark_severe,Ours (ADRR + Canny),0.1589034449296458,4122,7152
text,dark,dark_heavy,Canny Only,0.0,4122,0
text,dark,dark_heavy,CLAHE + Canny,0.0,4122,0
text,dark,dark_heavy,HistEq + Canny,1.0,4122,4122
text,dark,dark_heavy,Adaptive Thresh,0.7280446385249879,4122,233863
text,dark,dark_heavy,Ours (ADRR + Canny),0.8706938379427462,4122,4358
text,dark,dark_moderate,Canny Only,0.7760795730228045,4122,3199
text,dark,dark_moderate,CLAHE + Canny,0.7760795730228045,4122,3199
text,dark,dark_moderate,HistEq + Canny,1.0,4122,4122
text,dark,dark_moderate,Adaptive Thresh,0.7280446385249879,4122,233853
text,dark,dark_moderate,Ours (ADRR + Canny),0.7760795730228045,4122,3199
text,dark,dark_mild,Canny Only,0.9958757884522077,4122,4105
text,dark,dark_mild,CLAHE + Canny,0.9953905870936438,4122,4103
text,dark,dark_mild,HistEq + Canny,1.0,4122,4122
text,dark,dark_mild,Adaptive Thresh,0.7280446385249879,4122,233852
text,dark,dark_mild,Ours (ADRR + Canny),0.9958757884522077,4122,4105
text,motion_blur,mblur_severe_h,Canny Only,0.26322173702086366,4122,3070
text,motion_blur,mblur_severe_h,CLAHE + Canny,0.26322173702086366,4122,3108
text,motion_blur,mblur_severe_h,HistEq + Canny,0.16229985443959244,4122,2586
text,motion_blur,mblur_severe_h,Adaptive Thresh,0.6957787481804949,4122,229936
text,motion_blur,mblur_severe_h,Ours (ADRR + Canny),0.26322173702086366,4122,3070
text,motion_blur,mblur_moderate_h,Canny Only,0.26152353226589037,4122,2570
text,motion_blur,mblur_moderate_h,CLAHE + Canny,0.27292576419213976,4122,3524
text,motion_blur,mblur_moderate_h,HistEq + Canny,0.1824357108199903,4122,3390
text,motion_blur,mblur_moderate_h,Adaptive Thresh,0.683163512857836,4122,229816
text,motion_blur,mblur_moderate_h,Ours (ADRR + Canny),0.26152353226589037,4122,2570
text,motion_blur,mblur_moderate_d,Canny Only,0.1693352741387676,4122,3897
text,motion_blur,mblur_moderate_d,CLAHE + Canny,0.1710334788937409,4122,3987
text,motion_blur,mblur_moderate_d,HistEq + Canny,0.10431829209121786,4122,4759
text,motion_blur,mblur_moderate_d,Adaptive Thresh,0.4721009218825813,4122,226233
text,motion_blur,mblur_moderate_d,Ours (ADRR + Canny),0.1693352741387676,4122,3897
text,motion_blur,mblur_mild_v,Canny Only,0.4657933042212518,4122,4057
text,motion_blur,mblur_mild_v,CLAHE + Canny,0.47404172731683647,4122,4602
text,motion_blur,mblur_mild_v,HistEq + Canny,0.32290150412421154,4122,4526
text,motion_blur,mblur_mild_v,Adaptive Thresh,0.5878214459000485,4122,230157
text,motion_blur,mblur_mild_v,Ours (ADRR + Canny),0.4657933042212518,4122,4057
text,gaussian_blur,gblur_heavy,Canny Only,0.0019408054342552159,4122,29
text,gaussian_blur,gblur_heavy,CLAHE + Canny,0.1348859776807375,4122,1922
text,gaussian_blur,gblur_heavy,HistEq + Canny,0.0,4122,2501
text,gaussian_blur,gblur_heavy,Adaptive Thresh,0.1358563803978651,4122,229379
text,gaussian_blur,gblur_heavy,Ours (ADRR + Canny),0.030810286268801553,4122,1270
text,gaussian_blur,gblur_mild,Canny Only,0.3508005822416303,4122,2251
text,gaussian_blur,gblur_mild,CLAHE + Canny,0.3682678311499272,4122,3238
text,gaussian_blur,gblur_mild,HistEq + Canny,0.0,4122,3896
text,gaussian_blur,gblur_mild,Adaptive Thresh,0.14361960213488598,4122,229810
text,gaussian_blur,gblur_mild,Ours (ADRR + Canny),0.09049005337214944,4122,3727
