content_type,deg_type,deg_label,psnr_degraded,psnr_restored,psnr_improvement,ssim_degraded,ssim_restored,ssim_improvement,steps_applied
text,gaussian_blur,gblur_heavy,22.092302152732223,18.652725071233142,-3.439577081499081,0.9038299050239129,0.8815996370514877,-0.02223026797242522,['wiener_deconvolution']
text,gaussian_blur,gblur_mild,24.066350756294202,18.15353086449169,-5.912819891802513,0.9287761948821011,0.8655457700140835,-0.06323042486801755,['wiener_deconvolution']
text,combined,combined_dark_blur,2.6494653240574992,7.595515715564246,4.946050391506747,0.2642258315430674,0.7463352035446844,0.482109372001617,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,combined,combined_moderate,3.7062565552534883,3.4206905055972014,-0.28556604965628685,0.42361870936281465,0.37184168440636767,-0.05177702495644698,['wiener_deconvolution']
text,dark,dark_severe,1.3860529036929756,5.950968858607548,4.564915954914572,0.1789183442012304,0.7435489455897604,0.5646306013885299,['zero_dce_enhancement']
text,dark,dark_heavy,1.8710210375209282,7.118981193567098,5.24796015604617,0.2677718150195402,0.8070665765081882,0.5392947614886481,['zero_dce_enhancement']
text,dark,dark_moderate,2.977571743717346,2.977571743717346,0.0,0.4447096218253494,0.4447096218253494,0.0,['none_required']
text,dark,dark_mild,4.927558846024307,4.927558846024307,0.0,0.6688216279691229,0.6688216279691229,0.0,['none_required']
text,motion_blur,mblur_severe_h,18.508471167735866,18.508471167735866,0.0,0.9089562902979397,0.9089562902979397,0.0,['none_required']
text,motion_blur,mblur_moderate_h,18.89461594591073,18.89461594591073,0.0,0.9128293843067874,0.9128293843067874,0.0,['none_required']
text,motion_blur,mblur_moderate_d,18.729074443530543,18.729074443530543,0.0,0.8882364787641236,0.8882364787641236,0.0,['none_required']
text,motion_blur,mblur_mild_v,21.257017752532143,21.257017752532143,0.0,0.9308586891688839,0.9308586891688839,0.0,['none_required']
text,gaussian_blur,gblur_heavy,18.932855592057617,16.35449742737952,-2.5783581646780966,0.8920905298380254,0.868801567996517,-0.023288961841508415,['wiener_deconvolution']
text,gaussian_blur,gblur_mild,21.00176767285919,15.645401767218889,-5.356365905640303,0.92990102107046,0.863331273330699,-0.06656974773976099,['wiener_deconvolution']
text,combined,combined_dark_blur,1.8474065313723498,6.149359146545472,4.301952615173122,0.26022064931060895,0.7116758655864139,0.451455216275805,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,combined,combined_moderate,2.9302620339496532,2.6468093774759893,-0.2834526564736639,0.4220851201187932,0.37595239520380885,-0.046132724914984324,['wiener_deconvolution']
text,dark,dark_severe,1.490122783910727,5.347725354211522,3.857602570300795,0.18091884021405202,0.6539029295893196,0.4729840893752676,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,dark,dark_heavy,1.9865988938677837,7.393366526281366,5.406767632413583,0.2737254339486805,0.8197423723186231,0.5460169383699427,['zero_dce_enhancement']
text,dark,dark_moderate,3.0737636340784307,3.0737636340784307,0.0,0.44946484208348525,0.44946484208348525,0.0,['none_required']
text,dark,dark_mild,5.0119783150513975,5.0119783150513975,0.0,0.6727169422796763,0.6727169422796763,0.0,['none_required']
text,motion_blur,mblur_severe_h,22.735852686199696,22.735852686199696,0.0,0.9353919423504938,0.9353919423504938,0.0,['none_required']
text,motion_blur,mblur_moderate_h,23.16848478190067,23.16848478190067,0.0,0.9373019842136162,0.9373019842136162,0.0,['none_required']
text,motion_blur,mblur_moderate_d,22.577128956468155,22.577128956468155,0.0,0.9171783914547758,0.9171783914547758,0.0,['none_required']
text,motion_blur,mblur_mild_v,24.827108901831178,24.827108901831178,0.0,0.9458005632426171,0.9458005632426171,0.0,['none_required']
text,gaussian_blur,gblur_heavy,22.700312178856123,18.83678539028982,-3.863526788566304,0.9255628152904523,0.9102171005804945,-0.015345714709957714,['wiener_deconvolution']
text,gaussian_blur,gblur_mild,23.642506027013958,18.580118131877576,-5.062387895136382,0.9385740047207917,0.9008494801707025,-0.03772452455008912,['wiener_deconvolution']
text,combined,combined_dark_blur,1.9769602762326945,6.4557717968593735,4.478811520626679,0.2686436388482127,0.7351146326295193,0.4664709937813066,"['zero_dce_enhancement', 'wiener_deconvolution']"
text,combined,combined_moderate,3.05338579009062,2.770121004083933,-0.28326478600668725,0.4341528884616929,0.3894607775314915,-0.04469211093020142,['wiener_deconvolution']
text,dark,dark_severe,1.8771674592916208,6.671491231816008,4.794323772524387,0.18021067132490406,0.7624636677190474,0.5822529963941433,['zero_dce_enhancement']
text,dark,dark_heavy,2.3958657056039554,8.174336192964109,5.778470487360154,0.27693649617396665,0.8381941126529563,0.5612576164789896,['zero_dce_enhancement']
text,dark,dark_moderate,3.485997596719794,3.485997596719794,0.0,0.45223608847155244,0.45223608847155244,0.0,['none_required']
text,dark,dark_mild,5.398992640405247,5.398992640405247,0.0,0.6720496105264964,0.6720496105264964,0.0,['none_required']
text,motion_blur,mblur_severe_h,21.611821067441596,21.611821067441596,0.0,0.9331485338736865,0.9331485338736865,0.0,['none_required']
text,motion_blur,mblur_moderate_h,22.09344362829839,22.09344362829839,0.0,0.9360912289200577,0.9360912289200577,0.0,['none_required']
text,motion_blur,mblur_moderate_d,21.780947381449828,21.780947381449828,0.0,0.9173879551095983,0.9173879551095983,0.0,['none_required']
text,motion_blur,mblur_mild_v,24.330026777041745,24.330026777041745,0.0,0.9478539859725821,0.9478539859725821,0.0,['none_required']
